email_index,label
0,1
1,1
2,1
3,1
4,0
5,1
6,0
7,0
8,0
9,0
10,1
11,0
12,1
13,0
14,1
15,0
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,0
28,1
29,0
30,1
31,0
32,0
33,1
34,0
35,1
36,1
37,1
38,0
39,0
40,1
41,1
42,0
43,1
44,1
45,0
46,0
47,0
48,1
49,1
50,0
51,1
52,1
53,0
54,0
55,1
56,1
57,0
58,1
59,0
60,1
61,1
62,1
63,1
64,1
65,1
66,0
67,1
68,0
69,1
70,0
71,0
72,0
73,1
74,1
75,1
76,1
77,0
78,1
79,1
80,0
81,1
82,0
83,1
84,1
85,1
86,0
87,0
88,1
89,1
90,1
91,0
92,0
93,0
94,0
95,1
96,0
97,0
98,0
99,1
100,0
101,1
102,1
103,1
104,1
105,1
106,0
107,1
108,1
109,1
110,0
111,0
112,0
113,0
114,1
115,0
116,0
117,1
118,0
119,1
120,0
121,1
122,1
123,1
124,1
125,0
126,0
127,1
128,0
129,1
130,0
131,0
132,1
133,0
134,0
135,1
136,0
137,0
138,0
139,1
140,0
141,0
142,1
143,0
144,1
145,1
146,1
147,0
148,0
149,1
150,1
151,1
152,1
153,0
154,0
155,0
156,1
157,0
158,0
159,0
160,1
161,0
162,1
163,1
164,1
165,1
166,0
167,1
168,1
169,0
170,0
171,0
172,0
173,0
174,0
175,1
176,1
177,0
178,1
179,1
180,1
181,0
182,0
183,0
184,0
185,1
186,0
187,1
188,1
189,1
190,0
191,1
192,1
193,1
194,1
195,0
196,1
197,1
198,1
199,0
200,1
201,0
202,1
203,0
204,0
205,1
206,0
207,1
208,1
209,1
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,1
218,1
219,1
220,0
221,1
222,0
223,0
224,0
225,0
226,0
227,1
228,0
229,0
230,1
231,1
232,1
233,0
234,0
235,1
236,0
237,1
238,1
239,1
240,1
241,0
242,0
243,1
244,1
245,1
246,0
247,0
248,0
249,0
250,1
251,1
252,0
253,1
254,0
255,1
256,0
257,1
258,1
259,0
260,1
261,0
262,1
263,1
264,1
265,1
266,0
267,0
268,0
269,1
270,1
271,0
272,0
273,0
274,0
275,0
276,1
277,0
278,0
279,0
280,1
281,1
282,1
283,1
284,0
285,1
286,0
287,1
288,0
289,0
290,1
291,0
292,0
293,0
294,0
295,1
296,1
297,0
298,1
299,0
300,1
301,1
302,0
303,1
304,0
305,0
306,1
307,0
308,0
309,1
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,1
321,0
322,0
323,0
324,1
325,0
326,0
327,0
328,1
329,1
330,1
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,1
339,1
340,1
341,1
342,1
343,0
344,1
345,1
346,0
347,1
348,1
349,0
350,0
351,1
352,1
353,0
354,0
355,0
356,0
357,1
358,1
359,1
360,0
361,0
362,0
363,1
364,0
365,1
366,0
367,0
368,0
369,0
370,0
371,1
372,1
373,0
374,1
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,1
384,1
385,1
386,1
387,0
388,1
389,1
390,0
391,0
392,1
393,0
394,0
395,1
396,1
397,1
398,0
399,1
