email_index,label
0,1
1,1
2,1
3,1
4,0
5,1
6,0
7,0
8,0
9,0
10,1
11,0
12,1
13,0
14,1
15,0
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,0
28,1
29,0
30,1
31,0
32,0
33,1
34,0
35,1
36,1
37,1
38,0
39,0
40,1
41,1
42,0
43,1
44,1
45,0
46,0
47,0
48,1
49,1
50,0
51,1
52,1
53,0
54,0
55,1
56,1
57,0
58,1
59,0
60,1
61,1
62,1
63,1
64,1
65,1
66,0
67,1
68,0
69,1
70,0
71,0
72,0
73,1
74,1
75,1
76,1
77,0
78,1
79,1
80,0
81,1
82,0
83,1
84,1
85,1
86,0
87,0
88,1
89,1
90,1
91,0
92,0
93,0
94,0
95,1
96,0
97,0
98,0
99,1
100,0
101,1
102,1
103,1
104,1
105,1
106,0
107,1
108,1
109,1
110,0
111,0
112,0
113,0
114,1
115,0
116,0
117,1
118,0
119,1
120,0
121,1
122,1
123,1
124,1
125,0
126,0
127,1
128,0
129,1
130,0
131,0
132,1
133,0
134,0
135,1
136,0
137,0
138,0
139,1
140,0
141,0
142,1
143,0
144,1
145,1
146,1
147,0
148,0
149,1
150,1
151,1
152,1
153,0
154,0
155,0
156,1
157,0
158,0
159,0
160,1
161,0
162,1
163,1
164,1
165,1
166,0
167,1
168,1
169,0
170,0
171,0
172,0
173,0
174,0
175,1
176,1
177,0
178,1
179,1
180,1
181,0
182,0
183,0
184,0
185,1
186,0
187,1
188,1
189,1
190,0
191,1
192,1
193,1
194,1
195,0
196,1
197,1
198,1
199,0
200,1
201,0
202,1
203,0
204,0
205,1
206,0
207,1
208,1
209,1
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,1
218,1
219,1
220,0
221,1
222,0
223,0
224,0
225,0
226,0
227,1
228,0
229,0
230,1
231,1
232,1
233,0
234,0
235,1
236,0
237,1
238,1
239,1
240,1
241,0
242,0
243,1
244,1
245,1
246,0
247,0
248,0
249,0
250,1
251,1
252,0
253,1
254,0
255,1
256,0
257,1
258,1
259,0
260,1
261,0
262,1
263,1
264,1
265,1
266,0
267,0
268,0
269,1
270,1
271,0
272,0
273,0
274,0
275,0
276,1
277,0
278,0
279,0
280,1
281,1
282,1
283,1
284,0
285,1
286,0
287,1
288,0
289,0
290,1
291,0
292,0
293,0
294,0
295,1
296,1
297,0
298,1
299,0
300,1
301,1
302,0
303,1
304,0
305,0
306,1
307,0
308,0
309,1
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,1
321,0
322,0
323,0
324,1
325,0
326,0
327,0
328,1
329,1
330,1
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,1
339,1
340,1
341,1
342,1
343,0
344,1
345,1
346,0
347,1
348,1
349,0
350,0
351,1
352,1
353,0
354,0
355,0
356,0
357,1
358,1
359,1
360,0
361,0
362,0
363,1
364,0
365,1
366,0
367,0
368,0
369,0
370,0
371,1
372,1
373,0
374,1
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,1
384,1
385,1
386,1
387,0
388,1
389,1
390,0
391,0
392,1
393,0
394,0
395,1
396,1
397,1
398,0
399,1
400,1
401,0
402,0
403,0
404,1
405,0
406,1
407,1
408,0
409,1
410,0
411,1
412,1
413,0
414,0
415,0
416,0
417,1
418,1
419,1
420,0
421,0
422,1
423,1
424,1
425,0
426,1
427,1
428,0
429,1
430,1
431,0
432,1
433,0
434,1
435,1
436,0
437,1
438,0
439,0
440,0
441,0
442,0
443,0
444,1
445,0
446,1
447,1
448,1
449,0
450,0
451,0
452,0
453,0
454,1
455,0
456,0
457,0
458,1
459,1
460,0
461,1
462,0
463,1
464,1
465,0
466,1
467,1
468,0
469,1
470,0
471,0
472,1
473,0
474,0
475,1
476,1
477,1
478,1
479,1
480,1
481,0
482,0
483,0
484,0
485,1
486,0
487,1
488,1
489,1
490,1
491,0
492,1
493,0
494,0
495,1
496,1
497,1
498,0
499,1
500,1
501,0
502,1
503,0
504,1
505,0
506,0
507,1
508,0
509,1
510,0
511,0
512,1
513,1
514,1
515,0
516,1
517,0
518,0
519,0
520,1
521,1
522,0
523,0
524,1
525,0
526,0
527,0
528,1
529,1
530,1
531,1
532,0
533,1
534,0
535,0
536,1
537,1
538,1
539,0
540,0
541,1
542,0
543,0
544,1
545,1
546,1
547,1
548,1
549,1
550,0
551,0
552,0
553,0
554,1
555,0
556,1
557,0
558,1
559,1
560,0
561,1
562,0
563,0
564,1
565,1
566,1
567,1
568,1
569,0
570,0
571,1
572,1
573,0
574,1
575,0
576,1
577,0
578,1
579,1
580,1
581,1
582,0
583,1
584,1
585,0
586,0
587,0
588,0
589,0
590,1
591,0
592,1
593,1
594,0
595,0
596,0
597,0
598,1
599,1
600,0
601,1
602,0
603,1
604,0
605,0
606,0
607,0
608,0
609,0
610,1
611,0
612,0
613,1
614,1
615,1
616,0
617,0
618,1
619,0
620,0
621,1
622,1
623,0
624,0
625,1
626,0
627,0
628,1
629,1
630,0
631,1
632,1
633,1
634,0
635,0
636,1
637,0
638,1
639,0
640,0
641,0
642,1
643,0
644,1
645,0
646,0
647,1
648,1
649,0
650,0
651,0
652,0
653,0
654,1
655,0
656,0
657,0
658,1
659,1
660,0
661,0
662,0
663,0
664,1
665,0
666,0
667,1
668,0
669,1
670,1
671,0
672,0
673,1
674,0
675,1
676,1
677,0
678,0
679,1
680,1
681,0
682,0
683,1
684,1
685,1
686,1
687,0
688,0
689,1
690,1
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,1
700,1
701,1
702,1
703,0
704,1
705,1
706,1
707,0
708,1
709,0
710,1
711,1
712,1
713,1
714,1
715,0
716,1
717,0
718,0
719,0
720,0
721,1
722,1
723,0
724,1
725,1
726,0
727,0
728,0
729,1
730,1
731,0
732,0
733,0
734,1
735,0
736,0
737,0
738,1
739,0
740,1
741,0
742,0
743,1
744,0
745,1
746,1
747,0
748,0
749,0
750,1
751,1
752,0
753,0
754,0
755,0
756,1
757,1
758,0
759,1
760,0
761,1
762,0
763,1
764,1
765,1
766,0
767,0
